Manager,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Tim,115.02,106.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott,69.56,102.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnny,75.94,90.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JT,97.66,94.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt,131.38,85.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler,105.76,123.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brian,101.38,96.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason,86.68,109.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin,101.38,92.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David,71.52,91.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
