Manager,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Tim,Kevin,Jason,David,Matt,Johnny,JT,,,,,,,,,,,
Scott,Johnny,Tyler,Jason,David,Matt,Johnny,,,,,,,,,,,
Johnny,Scott,Matt,Kevin,Jason,Tim,Scott,,,,,,,,,,,
JT,Matt,Kevin,Tyler,Brian,David,Tim,,,,,,,,,,,
Matt,JT,Johnny,Brian,Tim,Scott,David,,,,,,,,,,,
Tyler,David,Scott,JT,Kevin,Jason,Brian,,,,,,,,,,,
Brian,Jason,David,Matt,JT,Kevin,Tyler,,,,,,,,,,,
Jason,Brian,Tim,Scott,Johnny,Tyler,Kevin,,,,,,,,,,,
Kevin,Tim,JT,Johnny,Tyler,Brian,Jason,,,,,,,,,,,
David,Tyler,Brian,Tim,Scott,JT,Matt,,,,,,,,,,,
